N,N2,N3,M,All,X100
,,14.336,13.426,14.344,
,,15.26,13.728,14.451,
,,16.004,15.112,13.835,
,,13.938,13.252,14.053,
,,16.078,15.186,13.856,
,,13.041,14.462,13.401,
,,13.634,14.194,13.89,
,,14.644,13.528,13.961,
,,14.565,13.647,13.744,
,,14.194,13.937,14.048,
,,14.192,13.086,15.138,
,,14.356,13.535,15.011,
,,13.404,14.35,14.841,
,,14.74,13.844,14.747,
,,14.268,14.24,14.614,
,,14.408,14.515,14.524,
,,15.961,15.022,14.541,
,,16.347,14.531,14.637,
,,15.213,14.168,14.611,
,,14.174,14.3,14.493,
,,14.637,15.483,14.701,
,,14.322,13.881,14.585,
,,15.911,14.895,14.39,
,,15.514,15.148,14.465,
,,13.432,13.391,14.538,
,,14.94,15.532,14.667,
,,15.313,14.566,14.59,
,,13.474,13.358,14.722,
,,15.002,14.022,14.571,
,,15.034,12.908,14.41,
,,14,15.206,14.59,
,,14.749,13.168,14.292,
,,14.73,14.281,14.151,
,,14.869,16.353,14.419,
,,16.368,15.619,14.694,
,,13.609,13.302,14.669,
,,15.982,13.143,14.87,
,,14.559,14.132,14.677,
,,13.78,15.965,14.579,
,,13.339,15.892,14.752,
,,14.212,15.169,14.459,
,,14.771,15.543,14.769,
,,14.08,14.51,14.748,
,,13.734,15.366,14.402,
,,13.846,14.819,14.645,
,,14.584,13.578,15.107,
,,15.997,14.041,14.844,
,,13.687,14.845,15.256,
,,14.621,15.378,14.674,
,,14.247,14.266,13.97,
,,14.481,14.465,15.085,
,,14.951,16.301,14.773,
,,13.832,14.4,15.092,
,,14.55,13.578,14.914,
,,15.331,13.13,14.937,
,,14.378,14.189,15.072,
,,15.069,13.942,15.006,
,,15.292,15.38,14.141,
,,15.273,13.887,14.858,
,,14.167,15.906,14.181,
,,14.511,15.094,14.7,
,,13.605,14.485,14.989,
,,13.492,14.793,14.958,
,,14.595,13.185,15.07,
,,14.039,13.975,13.834,
,,13.079,14.378,14.735,
,,13.528,13.639,14.938,
,,15.585,14.561,14.759,
,,15.222,14.491,14.608,
,,14.631,13.684,14.965,
,,15.762,15.322,15.266,
,,14.58,13.019,14.715,
,,13.261,15.952,14.936,
,,13.642,13.845,14.585,
,,13.449,14.59,15.059,
,,14.904,13.52,14.836,
,,14.052,13.151,15.069,
,,14.119,13.687,14.914,
,,14.895,14.475,14.799,
,,13.795,14.94,14.755,
,,14.566,13.953,14.851,
,,14.585,13.515,15.292,
,,14.563,14.844,14.958,
,,14.5,14.921,15.175,
,,14.514,15.698,14.896,
,,14.019,15.068,15.057,
,,14.687,13.449,15.221,
,,14.038,13.837,15.042,
,,13.901,14.78,15.196,
,,14.132,15.508,15.561,
,,13.477,15.418,15.426,
,,14.563,13.879,15.376,
,,13.263,13.828,14.744,
,,14.527,14.073,14.381,
,,14.063,14.193,14.297,
,,14.114,14.04,13.926,
,,15.39,13.62,13.881,
,,14.788,13.508,13.786,
,,15.117,15.404,13.925,
,,15.535,13.555,13.019,
