hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,PERF
x86_64,2411,16,4096,32965280,sha256,PRESET3,0,0,11.534
x86_64,2411,16,4096,32965280,sha256,PRESET4,1,1,54.762
x86_64,2411,16,4096,32965280,sha256,PRESET4,1,0,54.852
x86_64,2411,16,4096,32965280,sha256,PRESET4,0,1,17.434
x86_64,2411,16,4096,32965280,sha256,PRESET4,0,0,17.41
x86_64,2411,16,4096,32965280,none,PRESET3,0,1,10.734
x86_64,2411,16,4096,32965280,sha256,PRESET5,1,1,52.752
x86_64,2411,16,4096,32965280,sha256,PRESET5,1,0,52.778
x86_64,2411,16,4096,32965280,sha256,PRESET5,0,1,21.902
x86_64,2411,16,4096,32965280,sha256,PRESET5,0,0,21.906
x86_64,2411,16,4096,32965280,sha256,PRESET6,1,1,56.554
x86_64,2411,16,4096,32965280,sha256,PRESET6,1,0,56.892
x86_64,2411,16,4096,32965280,sha256,PRESET6,0,1,28.02
x86_64,2411,16,4096,32965280,sha256,PRESET6,0,0,28.054
x86_64,2411,16,4096,32965280,sha256,PRESET7,1,1,58.222
x86_64,2411,16,4096,32965280,sha256,PRESET7,1,0,58.104
x86_64,2411,16,4096,32965280,none,PRESET3,0,0,11.036
x86_64,2411,16,4096,32965280,sha256,PRESET7,0,1,28.372
x86_64,2411,16,4096,32965280,sha256,PRESET7,0,0,28.406
x86_64,2411,16,4096,32965280,sha256,PRESET8,1,1,58.526
x86_64,2411,16,4096,32965280,sha256,PRESET8,1,0,58.694
x86_64,2411,16,4096,32965280,sha256,PRESET8,0,1,28.686
x86_64,2411,16,4096,32965280,sha256,PRESET8,0,0,28.672
x86_64,2411,16,4096,32965280,sha256,PRESET9,1,1,59.11
x86_64,2411,16,4096,32965280,sha256,PRESET9,1,0,59.136
x86_64,2411,16,4096,32965280,sha256,PRESET9,0,1,29.506
x86_64,2411,16,4096,32965280,sha256,PRESET9,0,0,29.52
x86_64,2411,16,4096,32965280,none,PRESET4,1,1,54.528
x86_64,2411,16,4096,32965280,none,PRESET4,1,0,54.942
x86_64,2411,16,4096,32965280,none,PRESET4,0,1,17.684
x86_64,2411,16,4096,32965280,none,PRESET4,0,0,17.676
x86_64,2411,16,4096,32965280,none,PRESET0,0,1,4.454
x86_64,2411,16,4096,32965280,none,PRESET5,1,1,53.308
x86_64,2411,16,4096,32965280,none,PRESET5,1,0,53.278
x86_64,2411,16,4096,32965280,none,PRESET5,0,1,22.16
x86_64,2411,16,4096,32965280,none,PRESET5,0,0,21.934
x86_64,2411,16,4096,32965280,none,PRESET6,1,1,56.898
x86_64,2411,16,4096,32965280,none,PRESET6,1,0,56.878
x86_64,2411,16,4096,32965280,none,PRESET6,0,1,27.922
x86_64,2411,16,4096,32965280,none,PRESET6,0,0,27.906
x86_64,2411,16,4096,32965280,none,PRESET7,1,1,58.466
x86_64,2411,16,4096,32965280,none,PRESET7,1,0,58.472
x86_64,2411,16,4096,32965280,none,PRESET0,0,0,4.446
x86_64,2411,16,4096,32965280,none,PRESET7,0,1,28.46
x86_64,2411,16,4096,32965280,none,PRESET7,0,0,28.45
x86_64,2411,16,4096,32965280,none,PRESET8,1,1,58.486
x86_64,2411,16,4096,32965280,none,PRESET8,1,0,58.45
x86_64,2411,16,4096,32965280,none,PRESET8,0,1,28.724
x86_64,2411,16,4096,32965280,none,PRESET8,0,0,28.726
x86_64,2411,16,4096,32965280,none,PRESET9,1,1,59.272
x86_64,2411,16,4096,32965280,none,PRESET9,1,0,59.33
x86_64,2411,16,4096,32965280,none,PRESET9,0,1,29.13
x86_64,2411,16,4096,32965280,none,PRESET9,0,0,29.138
x86_64,2411,16,4096,32965280,none,PRESET1,1,1,48.612
x86_64,2411,16,4096,32965280,crc32,PRESET0,1,1,42.168
x86_64,2411,16,4096,32965280,crc32,PRESET0,1,0,42.186
x86_64,2411,16,4096,32965280,crc32,PRESET0,0,1,4.492
x86_64,2411,16,4096,32965280,crc32,PRESET0,0,0,4.482
x86_64,2411,16,4096,32965280,crc32,PRESET1,1,1,48.628
x86_64,2411,16,4096,32965280,crc32,PRESET1,1,0,48.558
x86_64,2411,16,4096,32965280,crc32,PRESET1,0,1,6.004
x86_64,2411,16,4096,32965280,crc32,PRESET1,0,0,6.006
x86_64,2411,16,4096,32965280,crc32,PRESET2,1,1,52.086
x86_64,2411,16,4096,32965280,crc32,PRESET2,1,0,52.038
x86_64,2411,16,4096,32965280,none,PRESET1,1,0,48.472
x86_64,2411,16,4096,32965280,crc32,PRESET2,0,1,8.494
x86_64,2411,16,4096,32965280,crc32,PRESET2,0,0,8.412
x86_64,2411,16,4096,32965280,crc32,PRESET3,1,1,51.386
x86_64,2411,16,4096,32965280,crc32,PRESET3,1,0,51.276
x86_64,2411,16,4096,32965280,crc32,PRESET3,0,1,11.10
x86_64,2411,16,4096,32965280,crc32,PRESET3,0,0,11.088
x86_64,2411,16,4096,32965280,crc32,PRESET4,1,1,54.67
x86_64,2411,16,4096,32965280,crc32,PRESET4,1,0,54.642
x86_64,2411,16,4096,32965280,crc32,PRESET4,0,1,17.374
x86_64,2411,16,4096,32965280,crc32,PRESET4,0,0,17.366
x86_64,2411,16,4096,32965280,none,PRESET1,0,1,6.006
x86_64,2411,16,4096,32965280,crc32,PRESET5,1,1,53.03
x86_64,2411,16,4096,32965280,crc32,PRESET5,1,0,53.138
x86_64,2411,16,4096,32965280,crc32,PRESET5,0,1,21.904
x86_64,2411,16,4096,32965280,crc32,PRESET5,0,0,22.304
x86_64,2411,16,4096,32965280,crc32,PRESET6,1,1,57.484
x86_64,2411,16,4096,32965280,crc32,PRESET6,1,0,57.382
x86_64,2411,16,4096,32965280,crc32,PRESET6,0,1,28.37
x86_64,2411,16,4096,32965280,crc32,PRESET6,0,0,28.404
x86_64,2411,16,4096,32965280,crc32,PRESET7,1,1,58.604
x86_64,2411,16,4096,32965280,crc32,PRESET7,1,0,58.628
x86_64,2411,16,4096,32965280,none,PRESET1,0,0,5.976
x86_64,2411,16,4096,32965280,crc32,PRESET7,0,1,28.778
x86_64,2411,16,4096,32965280,crc32,PRESET7,0,0,28.746
x86_64,2411,16,4096,32965280,crc32,PRESET8,1,1,59.242
x86_64,2411,16,4096,32965280,crc32,PRESET8,1,0,59.176
x86_64,2411,16,4096,32965280,crc32,PRESET8,0,1,29.032
x86_64,2411,16,4096,32965280,crc32,PRESET8,0,0,29.01
x86_64,2411,16,4096,32965280,crc32,PRESET9,1,1,59.692
x86_64,2411,16,4096,32965280,crc32,PRESET9,1,0,59.632
x86_64,2411,16,4096,32965280,crc32,PRESET9,0,1,29.448
x86_64,2411,16,4096,32965280,crc32,PRESET9,0,0,29.518
x86_64,2411,16,4096,32965280,none,PRESET2,1,1,52.238
x86_64,2411,16,4096,32965280,crc64,PRESET0,1,1,42.148
x86_64,2411,16,4096,32965280,crc64,PRESET0,1,0,42.176
x86_64,2411,16,4096,32965280,crc64,PRESET0,0,1,4.506
x86_64,2411,16,4096,32965280,crc64,PRESET0,0,0,4.516
x86_64,2411,16,4096,32965280,crc64,PRESET1,1,1,48.666
x86_64,2411,16,4096,32965280,crc64,PRESET1,1,0,48.554
x86_64,2411,16,4096,32965280,crc64,PRESET1,0,1,6.036
x86_64,2411,16,4096,32965280,crc64,PRESET1,0,0,6.038
x86_64,2411,16,4096,32965280,crc64,PRESET2,1,1,52.146
x86_64,2411,16,4096,32965280,crc64,PRESET2,1,0,52.146
x86_64,2411,16,4096,32965280,none,PRESET2,1,0,52.052
x86_64,2411,16,4096,32965280,crc64,PRESET2,0,1,8.654
x86_64,2411,16,4096,32965280,crc64,PRESET2,0,0,8.664
x86_64,2411,16,4096,32965280,crc64,PRESET3,1,1,51.486
x86_64,2411,16,4096,32965280,crc64,PRESET3,1,0,51.494
x86_64,2411,16,4096,32965280,crc64,PRESET3,0,1,11.206
x86_64,2411,16,4096,32965280,crc64,PRESET3,0,0,11.246
x86_64,2411,16,4096,32965280,crc64,PRESET4,1,1,54.492
x86_64,2411,16,4096,32965280,crc64,PRESET4,1,0,54.722
x86_64,2411,16,4096,32965280,crc64,PRESET4,0,1,17.53
x86_64,2411,16,4096,32965280,crc64,PRESET4,0,0,17.514
i686,1733,2,4096,1813636,none,PRESET0,1,1,91.09
i686,1733,2,4096,1813636,none,PRESET0,1,0,91.01
i686,1733,2,4096,1813636,none,PRESET2,0,1,18.254
i686,1733,2,4096,1813636,crc64,PRESET5,1,1,108.418
i686,1733,2,4096,1813636,crc64,PRESET5,1,0,108.608
i686,1733,2,4096,1813636,crc64,PRESET5,0,1,43.13
i686,1733,2,4096,1813636,crc64,PRESET5,0,0,43.076
i686,1733,2,4096,1813636,crc64,PRESET6,1,1,118.006
i686,1733,2,4096,1813636,crc64,PRESET6,1,0,117.946
i686,1733,2,4096,1813636,crc64,PRESET6,0,1,54.36
i686,1733,2,4096,1813636,crc64,PRESET6,0,0,54.366
i686,1733,2,4096,1813636,crc64,PRESET7,1,1,120.422
i686,1733,2,4096,1813636,crc64,PRESET7,1,0,120.492
i686,1733,2,4096,1813636,none,PRESET2,0,0,18.378
i686,1733,2,4096,1813636,crc64,PRESET7,0,1,54.97
i686,1733,2,4096,1813636,crc64,PRESET7,0,0,54.898
i686,1733,2,4096,1813636,crc64,PRESET8,1,1,121.008
i686,1733,2,4096,1813636,crc64,PRESET8,1,0,120.972
i686,1733,2,4096,1813636,crc64,PRESET8,0,1,55.454
i686,1733,2,4096,1813636,crc64,PRESET8,0,0,55.562
i686,1733,2,4096,1813636,crc64,PRESET9,1,1,121.76
i686,1733,2,4096,1813636,crc64,PRESET9,1,0,121.718
i686,1733,2,4096,1813636,crc64,PRESET9,0,1,56.158
i686,1733,2,4096,1813636,crc64,PRESET9,0,0,56.16
i686,1733,2,4096,1813636,none,PRESET3,1,1,105.482
i686,1733,2,4096,1813636,sha256,PRESET0,1,1,92.234
i686,1733,2,4096,1813636,sha256,PRESET0,1,0,92.27
i686,1733,2,4096,1813636,sha256,PRESET0,0,1,11.76
i686,1733,2,4096,1813636,sha256,PRESET0,0,0,11.746
i686,1733,2,4096,1813636,sha256,PRESET1,1,1,104.606
i686,1733,2,4096,1813636,sha256,PRESET1,1,0,104.614
i686,1733,2,4096,1813636,sha256,PRESET1,0,1,15.386
i686,1733,2,4096,1813636,sha256,PRESET1,0,0,15.378
i686,1733,2,4096,1813636,sha256,PRESET2,1,1,109.832
i686,1733,2,4096,1813636,sha256,PRESET2,1,0,109.802
i686,1733,2,4096,1813636,none,PRESET3,1,0,105.494
i686,1733,2,4096,1813636,sha256,PRESET2,0,1,19.492
i686,1733,2,4096,1813636,sha256,PRESET2,0,0,19.504
i686,1733,2,4096,1813636,sha256,PRESET3,1,1,106.818
i686,1733,2,4096,1813636,sha256,PRESET3,1,0,106.738
i686,1733,2,4096,1813636,sha256,PRESET3,0,1,24.696
i686,1733,2,4096,1813636,sha256,PRESET3,0,0,24.762
i686,1733,2,4096,1813636,sha256,PRESET4,1,1,114.068
i686,1733,2,4096,1813636,sha256,PRESET4,1,0,114.076
i686,1733,2,4096,1813636,sha256,PRESET4,0,1,35.294
i686,1733,2,4096,1813636,sha256,PRESET4,0,0,35.304
i686,1733,2,4096,1813636,none,PRESET3,0,1,23.444
i686,1733,2,4096,1813636,sha256,PRESET5,1,1,109.402
i686,1733,2,4096,1813636,sha256,PRESET5,1,0,109.482
i686,1733,2,4096,1813636,sha256,PRESET5,0,1,44.166
i686,1733,2,4096,1813636,sha256,PRESET5,0,0,44.146
i686,1733,2,4096,1813636,sha256,PRESET6,1,1,118.97
i686,1733,2,4096,1813636,sha256,PRESET6,1,0,118.974
i686,1733,2,4096,1813636,sha256,PRESET6,0,1,55.44
i686,1733,2,4096,1813636,sha256,PRESET6,0,0,55.43
