N,2N,3N,I2
1.1515,0.25,0.0312,0.09
0.3617,0.0769,0.1316,0.0731
0,0.2,0.086,0.03
0.2105,0.2105,0.1944,0.0588
0.0533,0.0429,0.1944,0.1086
0.0323,0.1,0.1755,0.03
1.1515,0.0083,0.1012,0.1471
0.0282,0.0886,0.1934,0.0323
0.4286,0.0172,0.1217,0.0438
0.1429,0.1613,0.2941,0.1565
0.9211,0.1304,0.2222,0.0303
0.8718,0.0139,0.1217,0.041
1,0.0137,0.114,0.1351
0.1231,0.0769,0.0098,0.0323
0.0323,0.0875,0.0549,0.1034
0.0323,0.1098,0.043,0.0541
0.9722,0.2771,0.1193,0.0667
0.0282,0.1549,0.0326,0.0537
1.0278,0.1176,0.1892,0.0111
0.0909,0.0395,0.12,0.0778
1.2188,0.0909,0.103,0.1535
0.0345,0.0641,0.1,0.2082
0.1176,0.027,0.0551,0.1053
0.1587,0.1429,0.0098,0.3379
0.2683,0.0985,0.0595,0.0303
0.0779,0.0875,0.0062,0.1034
0.0139,0.0135,0.0706,0.2188
0.0909,0.0171,0.2222,0.1847
0.2,0.0721,0.06,0.0986
1.1429,0.1,0.0729,0.2787
0.0625,0.0909,0.0545,0.0978
0.1176,0.0769,0.103,0.138
0.0429,0.0171,0.0222,0.1143
0.0476,0.0875,0.1282,0.0486
0.4634,0.0357,0.1944,0.1122
0.5435,0.3678,0.0254,0
1.2188,0.125,0.1934,0
0.8205,0.0698,0.0162,0.0051
1.0857,0.0714,0.1012,0.05
1.0882,0.0244,0.0381,0.05
0.5789,0.1081,0.1622,0.0727
0.825,0.0137,0.0856,0.0162
0.5789,0.1489,0.0238,0.0778
0.5435,0.0875,0.1556,0.1064
1,0.0938,0.1622,0.05
0.0909,0.0312,0.0595,0.322
0.6512,0.0875,0.102,0.1818
0.2857,0.1803,0.1,0.1122
0.3878,0.0735,0.1576,0.1304
0.0274,0.0769,0.0312,0.0667
0.0395,0.2593,0.0914,0.0667
0.825,0.0571,0.04,0.0737
0.875,0.0625,0.1314,0.0421
0.0164,0.1098,0.1711,0.0211
0.9722,0.1471,0.0098,0.0051
0.0274,0.0325,0.0269,0.0323
0.875,0.0167,0.0476,0.0162
0.1892,0.0083,0.0258,0.1412
0.1205,0.1111,0.3,0.0741
0.6136,0.1061,0.0202,0.0303
0.825,0.0526,0.1,0.2381
0.0735,0.0171,0.0851,0.0455
0.9355,0.1081,0.1576,0.1646
0.1094,0,0.0027,0.0033
0.1587,0.1489,0.1727,0.0588
0.775,0.0875,0.0914,0.0667
0.2308,0.0645,0.0062,0.1064
0.1061,0.0141,0.103,0.0373
1.069,0.0139,0.0326,0
0.4634,0.0345,0.0202,0
0.0641,0.1837,0.2647,0.041
0.25,0.0645,0.1742,0.1579
0.1967,0.1061,0.0098,0.0303
0.2857,0.0294,0.06,0.1727
0.3182,0.0556,0.0027,0.0857
0.058,0.0781,0.0238,0.1542
0.7317,0.0294,0.06,0.0667
0.25,0.1667,0.0312,0.2581
0.0429,0.0476,0.0901,0
0.0323,0.0286,0.0364,0.0455
0.2857,0.0135,0.0254,0.103
0.25,0.1429,0.0364,0.0303
0.0323,0.1019,0.0488,0.1143
0.4634,0.1714,0.0766,0.0486
0.7143,0.1304,0.0729,0.1642
1.0286,0,0.12,0.0537
0.0135,0.0439,0.114,0.1257
0.9189,0.0781,0.043,0.0111
0.9189,0.0649,0.0966,0.0706
1.1429,0.2067,0.2286,0.0323
0.3333,0.0476,0.0549,0.0373
0.1176,0.0171,0.075,0.0588
0.6667,0.0645,0.098,0.1093
0.775,0.0395,0.0766,0.1378
0.1061,0.1019,0,0
0.0139,0.0333,0.0197,0.0588
0.6216,0,0.0488,0.0051
0.5789,0.0833,0.1229,0.1667
0.0909,0.1667,0.1316,0.0929
0.6591,0.131,0.0521,0.0986
0.0714,0.0083,0.0856,0.0129
0.0875,0.0139,0.0312,0.037
0.2373,0.0312,0.0435,0.0323
0.587,0.1889,0.0364,0.2087
0,0.0875,0.0732,0.0211
0.6667,0.1185,0.0293,0.0762
1.3667,0.0083,0.0037,0.0421
0.8182,0.0526,0.0227,0.0323
0,0.1781,0.0966,0.1616
0.0909,0.1818,0.2571,0.05
1.1471,0.0775,0,0.0685
0.1429,0.0721,0.1316,0.0537
0.8684,0.1806,0.0027,0.1064
0.0135,0.1333,0.0549,0.0303
1.069,0.1429,0.1071,0.1034
0.8182,0,0.1397,0.1818
1.0882,0.2203,0.0595,0.0769
0.7805,0.0286,0.0464,0.0359
0.5778,0.0571,0.0222,0.0588
0.1111,0.0641,0.1579,0.1886
0.0323,0.0141,0.1944,0.1574
0.1705,0.1429,0.0062,0.01
0.2105,0.2105,0.06,0.2242
0.1429,0.0714,0.2099,0.1404
0.5385,0.0645,0.0047,0.168
0.1235,0.1781,0.025,0.151
0.25,0,0.0222,0.1197
0.825,0.0325,0.0242,0.0326
0.6977,0.0526,0.0222,0.1167
0.8684,0.0476,0.0926,0.1089
0.7317,0.0294,0.0538,0.1429
0.8205,0.1613,0.0965,0
0.2857,0.0625,0.0392,0.0632
1.2188,0.1324,0.0455,0.0303
0.127,0.0167,0.0575,0.1071
1,0.0435,0.0538,0.04
0.0909,0.0476,0.1667,0.0776
0.3182,0.0909,0.0417,0.1071
1.2903,0.0135,0.1471,0.0146
0.6222,0.0357,0.0889,0.0222
0.0625,0.0909,0.1532,0.0146
0.1667,0.0083,0.0222,0.0545
0.0759,0.0169,0.0455,0.04
0.1231,0.027,0.197,0.1404
1.0278,0.1705,0.0095,0.1404
0.7143,0.2,0.1404,0.1222
1.2188,0.1061,0.0952,0.1217
0.0395,0.0169,0.0707,0.0672
0.8205,0,0.0051,0.0947
0.1235,0.0294,0.0812,0.0152
0.1304,0.17,0.1261,0.0147
0,0.2202,0.0244,0.0429
0.0139,0.0847,0.0741,0.0667
0.25,0.0095,0.1064,0.0667
0.0597,0.0375,0.025,0.0632
1.069,0.0354,0.1064,0.0429
0.1667,0.1202,0.1276,0.0451
0.9189,0.0185,0.0707,0.1717
0.6136,0.0357,0.0577,0.0593
0.1176,0.1389,0.0575,0.1543
0.0429,0.1034,0.0163,0.0385
0.0735,0.1351,0.0809,0.01
0.1176,0.0667,0.0392,0.1089
0.1429,0.0625,0.1037,0.0234
0.3617,0.0354,0.0942,0.0317
0.1098,0.0778,0.0068,0.0469
0.2373,0.0323,0.0812,0.1406
