N-Apache,N-LLVM,N-X264,N-BDBC,N-BDBJ,N-SQL,2N-Apache,2N-LLVM,2N-X264,2N-BDBC,2N-BDBJ,2N-SQL,3N-Apache,3N-LLVM,3N-X264,3N-BDBC,3N-BDBJ,3N-SQL,I2-Apache,I2-LLVM,I2-X264,I2-BDBC,I2-BDBJ,I2-SQL
0,0.0063,0.1405,0.614,0.0057,0.128,0.619,0.217,0.0088,0.4864,0.0216,0.114,0.0152,0.0068,0.2058,0.4793,0.0252,0.1332,0.0081,0.0599,0.0446,0.3886,0.0477,0.0996
0.0323,0.0079,0.018,10.9918,0.0081,0.0426,0.3125,0.0168,0.0472,0.1331,0.0442,0.1051,0.1111,0.0502,0.0315,0.1375,0.0021,0.0393,0.1382,0.0213,0.0181,0.0753,0.092,0.0662
0.3556,0.0167,0.1259,0.7958,0.049,0.0052,0.0139,0.0516,0.0307,0.0487,0.0667,0.0782,0.0806,0.0241,0.0461,0.113,0.0006,0.0369,0.1296,0.0007,0.1158,0.0107,0.0463,0.0633
0.1644,0.0371,0.0917,1.2853,0.005,0.0756,0.1605,0.2205,0.0388,0.6607,0.0022,0.1128,0.0216,0.0095,0.1019,0.1902,0.1167,0.073,0.1323,0.0151,0.0763,0.0039,0.0097,0.026
0.0857,0.1999,0.0327,0.1373,0.0106,0.0624,1,0.0038,0.049,0.1314,0.0093,0.1237,0.0588,0.0752,0.0609,0.1026,0.0132,0.0834,0.0238,0.0389,0.1247,0.3398,0.0093,0.0121
0,0.0458,0.1475,0.24,0.0416,0.1208,0.3028,0.0255,0.1109,19.7895,0.0282,0.1301,0.0053,0.0048,0.1659,0.3543,0.0318,0.0661,0.0569,0.0136,0.0322,0.3136,0.0229,0.1147
0.0952,0.0017,0.0605,10.9505,0.0389,0.0813,0.3654,0.0245,0.0357,0.3419,0.1242,0.0286,0,0.0012,0.0029,0.3806,0.0042,0.0782,0.0078,0.0327,0.0047,0.323,0.0161,0.104
0.0161,0.091,0.0662,0.4385,0.0217,0.1188,0.0312,0.0105,0.0088,0.6703,0.0851,0.1046,0.1304,0.0157,0.0497,0.0458,0.0256,0.0646,0.7521,0.014,0.1523,0.7824,0.0568,0.1184
0.1644,0.0321,0.192,0.0017,0.0057,0.1255,0,0.0147,0.2024,0.0413,0.0087,0.0211,0.0857,0.0838,0.0034,0.7726,0.0061,0.0922,0.0734,0.0082,0.0003,0.0435,0.0175,0.0971
0.0758,0.0019,0.1045,0.7962,0.0195,0.0792,0.1974,0.0082,0.0308,19.3112,0.0113,0.0889,0.1409,0.0065,0.0555,1.9038,0.0007,0.0847,0.0991,0.0178,0.0596,0.0119,0.0453,0.0728
0.0256,0.0289,0.0867,0.3931,0.1252,0.123,0.7436,0.0449,0.2625,19.1273,0.0539,0.1089,0.0256,0.0098,0.0313,0.6141,0.0096,0.0958,0.1781,0.0605,0.0033,0.0022,0.0276,0.1051
0.1176,0.0067,0.1851,1.2796,0.0162,0.0883,0.0667,0.019,0.0874,0.4232,0.0083,0.1479,0.0429,0.0138,0.0224,0.0431,0.0018,0.1121,0.0101,0.0235,0.0744,0.0615,0.0066,0.1213
0.0317,0.1154,0.0163,0.0254,0.0747,0.1349,0.0167,0.0473,0.065,0.1481,0.0302,0.1209,0,0.0634,0.0688,0.0475,0.0032,0.1046,0.1042,0.0319,0.1927,0.0342,0.0706,0.1068
0.5641,0.0415,0.0397,0.3212,0.0686,0.1184,0.2721,0.0766,0.4599,0.3996,0.0628,0.1464,0.0984,0.0049,0.02,0.0151,0.0667,0.1045,0.0101,0.022,0.244,0.34,0.0685,0.0378
0.0256,0.0474,0.0541,0.0124,0.0286,0.0819,0.3889,0.033,0.0523,0.5457,0.0115,0.1419,0,0.0185,0.0146,0.047,0.0061,0.1379,0.0368,0.0439,0.0171,0.1075,0.0283,0.1046
0.525,0.0523,0.0669,0.2449,0.0147,0.0139,0.0462,0.0162,0.1866,0.6504,0.0663,0.0038,0.0603,0.0585,0.035,0.8542,0.0062,0.079,0.0317,0.0116,0.0422,0.001,0.0595,0.0812
0.0625,0.0067,0.0516,0.6144,0.0192,0.0022,0.0312,0.0463,0.0315,0.3274,0.0025,0.0646,0.1167,0.0642,0.0147,0.5019,0.0523,0.0594,0.0152,0.0075,0.1121,0.0939,0.0004,0.0267
0.5641,0.024,0.1046,0.197,0.0946,0.0222,0.1034,0.0443,0.0025,0.4819,0.0014,0.0407,0.0444,0.0888,0.0898,0.2923,0.0084,0.0109,0.1458,0.0045,0.1126,0.0095,0.0057,0.0032
0.0469,0.1063,0.0265,0.0141,0.0171,0.0635,0.0312,0.0251,0.0603,0.0979,0.0143,0.064,0.1131,0.0139,0.1265,0.4781,0.0111,0.0588,0.0427,0.001,0.1094,0.3428,0.0008,0.0261
0.0758,0.0095,0.1872,0.8026,0.0173,0.0578,0.2826,0.0123,0.0073,0.6622,0.0117,0.0755,0.078,0.0697,0.0014,0.3014,0.014,0.0199,0.3946,0.03,0.217,0.0029,0.0188,0.076
0.1176,0.0397,0.0898,0.8018,0.013,0.0617,0.0735,0.0133,0.1923,0.6523,0.0676,0.0294,0.1702,0.0255,0.0101,0.4793,0.0312,0.0001,0.3333,0.0051,0.0359,0.8058,0.0117,0.0151
0.1029,0.177,0.051,0.0015,0.0057,0.063,0.161,0.1898,0.1654,0.5172,0.0324,0.0432,0.0901,0.0051,0.1908,0.0974,0.006,0.071,0.0234,0.0093,0.0187,0.0033,0.0451,0.0767
0.1528,0.0036,0.0559,0.3593,0.0614,0.0717,0.0811,0.0264,0.2041,0.1493,0.002,0.0896,0.0308,0.0506,0.0181,0.4782,0.0209,0.0334,0.2742,0.0358,0.2429,0.1463,0.1016,0.0902
